PressRT,PressRH,PressLT,PressLH
32.0002912730704,32.0081114811039,32.0002912730704,32.0081114811039
151.520423908043,151.549630240503,151.512603700009,151.549630240503
366.350755015256,366.41107007788,366.321548682796,366.41107007788
647.469255764765,647.567154030759,647.408940702142,647.567154030759
970.571311393016,970.710576717718,970.473413127022,970.710576717718
1315.71832581716,1315.91620307878,1315.59470090852,1315.90838287075
1666.94761816869,1667.23112404369,1666.82379398806,1667.20191771123
2011.8492310268,2012.22856172535,2011.73694773393,2012.17606687076
2341.12281037775,2341.58713836788,2341.01505958791,2341.51844643435
2648.1409017567,2648.67145408339,2648.01653280436,2648.58468361328
2928.50736106336,2929.09550617483,2928.35069222907,2928.98196126281
3179.68057791913,3180.32572264754,3179.48842747749,3180.17957969954
3400.63467112156,3401.33457810098,3400.40571174412,3401.1523958992
3591.521268024,3592.27251040857,3591.26345459058,3592.06060050334
3753.39705248443,3754.19539947343,3753.12520127241,3753.9673466693
3887.9867538753,3888.8274911762,3887.71265336433,3888.59420648645
3997.47287787286,3998.34324809422,3997.19780826809,3998.11325308476
4084.31249902212,4085.19398276744,4084.02965107516,4084.97370211007
4151.08051368151,4151.96639753858,4150.79273498421,4151.76044870131
4200.37716601163,4201.26999003124,4200.09461228414,4201.08146171379
4234.74859916373,4235.65009194753,4234.47888631333,4235.48080518588
4256.61204887432,4257.52326337639,4256.36060906292,4257.37401120429
4268.21039380396,4269.13183249065,4267.98081650759,4269.00259567852
4271.59061503926,4272.51452277409,4271.37714573456,4272.40466049485
4268.58560356037,4269.49814241568,4268.36768995699,4269.398737532
4260.78346093348,4261.69002700941,4260.54549886273,4261.57828140314
4249.53510127936,4250.45565527382,4249.28140539382,4250.31449146404
4235.99877468422,4236.93252865378,4235.73314220307,4236.76542581932
4221.14891828553,4222.07139512999,4220.8589908743,4221.88964994712
4205.75740525199,4206.65020810891,4205.43447631054,4206.46293193106
4190.41679858015,4191.29022418257,4190.07087152667,4191.09674917271
4175.59505345952,4176.46541551761,4175.23451037849,4176.25760380474
4161.64221644119,4162.50646677876,4161.2661150581,4162.28635337203
4148.7914251174,4149.63959978304,4148.39953032039,4149.41694852814
4137.19461172438,4138.01176091791,4136.77941723932,4137.79413037108
4126.92893188485,4127.69675425519,4126.47759648179,4127.48977726849
4118.00402814182,4118.71786792536,4117.50784587186,4118.51770584038
4110.37752594686,4111.05114583423,4109.83905105102,4110.84682482947
4103.96853082727,4104.6215514502,4103.40668323562,4104.41261580845
4098.68481265655,4099.33290791059,4098.12263648583,4099.12697310719
4094.4283431577,4095.08367341995,4093.88350063167,4094.88647909053
4091.09971903822,4091.76355271268,4090.577377118,4091.57922204676
4088.59377294435,4089.25899543503,4088.08936551056,4089.09028443687
4086.7885715196,4087.45750976372,4086.30586009704,4087.30604095459
4085.57661333973,4086.25875376271,4085.11780061192,4086.11741044654
4084.86481466979,4085.567010961,4084.42302012777,4085.42220475976
