PressRT,PressRH,PressLT,PressLH
12.0196597474852,1.35289598979501,13.0050059597058,3.94920505691607
56.9019725307041,6.40559150540117,61.5594964248703,18.4950775404215
137.565177911298,15.4872013494926,148.784386527259,44.0970305118337
243.121391230256,27.3630856427657,262.847849411443,76.7493672896952
364.451746965839,41.0000948579051,393.862735131108,113.31173985494
494.069885426253,55.5595603922114,533.732987158749,151.397075467204
625.989777138405,70.3623811507084,675.97996952572,189.269984843619
755.569723671449,84.8729286499867,815.558838004124,225.678175080029
879.32734882012,98.6822302788264,948.680849229293,259.723839595144
994.761616066005,111.498945871786,1072.66923726656,290.816615015927
1100.20925628011,123.146596272252,1185.78274969861,318.635748969912
1194.70858433426,133.534386821402,1287.01211042208,343.084866499916
1277.87323559509,142.632177675769,1375.93249281019,364.211201086682
1349.76963053317,150.457233780213,1452.58787153153,382.162693511746
1410.79330789384,157.062592398524,1517.39559099335,397.198900343225
1461.57954041231,162.534853785211,1571.04594440694,409.633296808991
1502.93518699073,166.983618739202,1614.4010722071,419.740472547919
1535.77330344989,170.517037808009,1648.44342288198,427.741000772567
1561.05973200542,173.254408013935,1674.23251029267,433.846279082902
1579.76271704356,175.33547335849,1692.86155861733,438.269704222312
1592.82987574702,176.879988223433,1705.41541739759,441.242989687633
1601.17120267847,177.973008377069,1712.92294573573,443.035912370884
1605.62376742207,178.685990021608,1716.33010991096,443.938967130381
1606.95041452193,179.085557000429,1716.48978914053,444.25725221051
1605.84108944745,179.232547488887,1714.15687856607,444.258407378653
1602.90831442718,179.181464733688,1709.98760313236,444.110445302639
1598.69396497914,178.980254477469,1704.54207849967,443.899808058349
1593.66103024961,178.6625193807,1698.28927909803,443.671210753825
1588.18194880153,178.249824089054,1691.598054247,443.459467262617
1582.54814666515,177.769477905412,1684.75683906493,443.3219988725
1576.98769789519,177.252336320279,1678.01472920292,443.316107698041
1571.68083437679,176.723185833832,1671.55943347708,443.450290860315
1566.78114319005,176.20138871725,1665.51012587871,443.679754320143
1562.40135657084,175.701546578535,1659.94539482532,443.928104060667
1558.59592469242,175.234157575824,1654.9024613979,444.120590566061
1555.37295003659,174.80624820645,1650.38569471821,444.21734307833
1552.7125992033,174.421965857965,1646.38198262863,444.214275596736
1550.58208033581,174.083122767096,1642.87305256341,444.087920046112
1548.93188086261,173.797505949382,1639.85289104722,443.785055239194
1547.7012288287,173.569415348011,1637.32506325542,443.278254959676
1546.83826893042,173.384704863866,1635.27689952729,442.568530232182
1546.29177794689,173.23118152548,1633.66805011197,441.670823361872
1545.99697872575,173.098529876352,1632.4382243006,440.618100907054
1545.89637841291,172.962554908838,1631.5293828385,439.432644277447
1545.93986239919,172.797006835503,1630.90266703198,438.080931759176
1546.07671527835,172.582703217255,1630.51166553187,436.487744664452
1546.2729882658,172.31429550118,1630.30563339067,434.603018507603
1546.50863786606,171.997199289674,1630.27119448028,432.428803978727
1546.76707889606,171.637085986573,1630.41619564335,429.999187981249
1547.03489406122,171.239645535074,1630.72539416226,427.36391089473
1547.30933260259,170.810404093488,1631.1663373687,424.590968052349
1547.59590044399,170.37805012109,1631.7178654291,421.768031459691
1547.8984357448,169.988117153712,1632.36031058503,418.987282921961
1548.22719929305,169.666337007995,1633.06012282522,416.325834841001
1548.58923047872,169.430288548365,1633.7976283375,413.839024008078
1548.97324046554,169.29075554253,1634.58785860708,411.563775972134
1549.36207420717,169.237338927961,1635.44067857658,409.513937879034
1549.75026014187,169.251558953705,1636.29130512695,407.685245515294
1550.1414474892,169.324964486189,1637.0276209091,406.075335050836
1550.52269727266,169.457050737444,1637.59859986162,404.683372304385
1550.87658879809,169.629955038773,1638.00942859843,403.501900701596
1551.20627390391,169.805257021371,1638.26908973204,402.51862411917
1551.51492411611,169.945631219623,1638.38919265136,401.717923940332
1551.79780662546,170.039219066711,1638.37517551395,401.074304851671
1552.0599223121,170.086220546206,1638.22757916336,400.539863023503
1552.32139190275,170.056965275053,1637.95099635826,400.066668442492
1552.60546842538,169.915470502529,1637.55297998573,399.639551161281
1552.92925668925,169.653324565127,1637.04311415018,399.253269771812
1553.32025729091,169.275678349946,1636.43223908312,398.894711732205
1553.81307382707,168.790090415305,1635.73963833429,398.560785747408
1554.415387578,168.213547381609,1634.99045988546,398.256173561866
1555.10619666699,167.569726471435,1634.21355726223,397.983544462692
1555.85100489397,166.878869101532,1633.45536031499,397.728302267815
1556.62169880401,166.165771878373,1632.77431011066,397.44744149645
1557.41157399542,165.450124847315,1632.22057988594,397.101000828796
1558.23053526187,164.739270265155,1631.82861999644,396.668241231863
1559.10090032014,164.046502645307,1631.61193912324,396.135976597421
1560.04597694323,163.389260105607,1631.55194150762,395.497218879901
1561.09692241528,162.779789105354,1631.60602086887,394.749946382522
1562.30557258804,162.225976179704,1631.71451146786,393.89600490482
1563.73016155595,161.73994164379,1631.82218671774,392.947965243924
1565.44764331472,161.344489990646,1631.91022881734,391.941860806985
1567.54690424297,161.054256104514,1631.98829797213,390.922750152316
1570.07626931531,160.861518687957,1632.07974634133,389.925555278329
1573.02020072559,160.749493197435,1632.2020433201,388.984161330499
1576.26780614334,160.702797825594,1632.36760561026,388.130599262565
1579.57605818313,160.707606425992,1632.60805173655,387.386657542236
1582.62395565015,160.751716992078,1632.94525926889,386.781237679974
1585.13465257777,160.824553308098,1633.36949916888,386.34778576065
1586.97544887227,160.917115357609,1633.87841669201,386.090901989627
1588.19077376373,161.021892031251,1634.47537950999,385.985126331872
1588.91242768192,161.132747686064,1635.1445727354,385.99840923693
1589.28027368903,161.244792223453,1635.87162263284,386.102476286679
1589.44379605192,161.354242606378,1636.6749898534,386.272829286608
1589.51607191133,161.458282150802,1637.58988873241,386.480808770297
1589.57875316199,161.554922513696,1638.60852404795,386.703284409567
1589.74942727785,161.642872063725,1639.69821902242,386.937725184607
1590.27119309412,161.721413258623,1640.84736063929,387.173997830098
1591.52260889155,161.790290757452,1642.04519371079,387.38864247942
1593.79428937759,161.857431463858,1643.25849595878,387.572185469632
1597.04232636702,161.936781974705,1644.43005417805,387.694882174067
1600.88191612684,162.030823334372,1645.51734846373,387.665469462502
1604.84338803394,162.133176289225,1646.52172496608,387.387516451741
